id,offense,total,white,black,american_indian,asian,year
1628031,Aggravated assault,372685,236510,124040,5610,6520,2014
9386008,Burglary,237974,160730,72020,2210,3020,2014
9806677,Larceny-theft,1238190,853910,348410,20030,15850,2014
5654807,Motor vehicle theft,68422,45370,21030,860,1170,2014
3456613,Arson,9394,6870,2190,190,140,2014
2725643,Other assaults,1093258,713930,348600,17610,13130,2014
6163304,Forgery and counterfeiting,56783,36300,19230,360,890,2014
4798458,Fraud,141293,92690,45650,1410,1540,2014
2266180,Embezzlement,16227,10070,5760,110,280,2014
8958139,Stolen property (buying or receiving or possessing),88946,58210,28740,850,1140,2014
1458388,Vandalism,198400,139180,53400,3560,2260,2014
1818661,Weapons (carrying or possessing or etc.),140713,80630,57150,1020,1900,2014
1117493,Prostitution and commercialized vice,47598,25520,19920,250,1900,2014
7644381,Sex offenses (except forcible rape and prostitution),55456,,,,,2014
1162226,Drug abuse violations,1561231,1074360,454960,13180,18730,2014
1777431,Gambling,5637,2020,3310,20,290,2014
631282,Offenses against family and children,102336,66080,33450,2030,780,2014
1806808,Driving under the influence,1117852,934850,144950,15700,22360,2014
1783969,Liquor laws,321125,258880,45580,11880,4780,2014
7873484,Drunkenness,414854,335640,65270,8860,5090,2014
2666848,Disorderly conduct,436014,274100,148250,9950,3710,2014
3295373,Vagrancy,27380,18530,8040,560,260,2014
8019704,All other offenses,3274430,2220600,961700,54850,37280,2014
2950889,Curfew and loitering law violations,53654,27550,24780,610,710,2014
7758545,Murder and nonnegligent manslaughter,11092,5090,5670,130,200,2015
2871215,Forcible rape,22863,,,,,2015
2629497,Robbery,95572,42460,51110,740,1270,2015
3706552,Aggravated assault,376154,240710,120660,7630,7150,2015
4938354,Burglary,216010,147070,63660,2190,3080,2015
9253972,Larceny-theft,1160390,807010,317800,18580,17000,2015
4395284,Motor vehicle theft,77979,52390,22920,1200,1460,2015
323893,Arson,8834,6470,1980,230,150,2015
2348193,Other assaults,1081019,712280,332850,19660,16220,2015
2794652,Forgery and counterfeiting,55333,35750,18260,380,940,2015
3193090,Fraud,133138,88610,41290,1520,1720,2015
5832321,Embezzlement,15909,9650,5860,110,300,2015
7133467,Stolen property (buying or receiving or possessing),88576,57990,28360,980,1250,2015
3664502,Vandalism,191015,132690,52010,3680,2630,2015
207253,Weapons (carrying or possessing or etc.),145358,83900,58080,1440,1930,2015
8876918,Prostitution and commercialized vice,41877,22810,16710,150,2210,2015
3509769,Sex offenses (except forcible rape and prostitution),51388,,,,,2015
1491337,Drug abuse violations,1488707,1052510,402150,15340,18700,2015
5620924,Gambling,4825,1740,2720,30,340,2015
779960,Offenses against family and children,94837,62440,28270,3370,760,2015
8607534,Driving under the influence,1089171,899650,143320,21170,25020,2015
3228299,Liquor laws,266250,212380,36650,12930,4290,2015
5736281,Drunkenness,405880,310260,57860,33230,4530,2015
2785721,Disorderly conduct,386078,247080,119690,15550,3770,2015
6724821,Vagrancy,25151,17290,6710,870,270,2015
8706038,All other offenses,3218880,2206840,902190,64390,45470,2015
